"<a target=""_blank"" href=""%s"">agreement</a>","<a target=""_blank"" href=""%s"">överenskommelse</a>"
"You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order.","Du skickas vidare till <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> webbplats för att betala."
"Sign a %s to streamline further purchases with PayEx.","Gör en %s för att underlätta vidare köp."
"I accept the agreement","Jag godkänner överenskommelsen"
"You already %s the agreement.","Du har redan %s överenskommelsen."
"Payment will be made automatically by credit card.","Betalningen görs automatiskt med kort."
"Cancel agreement?","Upphäv överenskommelsen?"
"Cancel agreement","Upphäv överenskommelsen"
"<a href=""%s"">Cancel agreement</a>","<a href=""%s"">Upphäv överenskommelsen</a>"
"Selected currency code (%s) is not compatible with PayEx","Vald valuta (%s) är inte godkänd av PayEx"
"Can't load last transaction.","Kan inte ladda senaste transaktion."
"Unable to execute capture. Accept only Authorize transactions.","Kan inte fånga ordern. Bara order med Authorize accepteras."
"This payment has not yet captured.","Den här transaktionen har inte fångats."
"Order has been paid","Order har betalats"
"The customer was redirected to PayEx.","Kunden har omdirigerats till PayEx."
"Order canceled by user","Order avbruten av kund"
"Detected an abnormal payment process. Order is canceled.","Upptäckta en onormal betalningsprocessen. Beställ avbryts."
"Payment Menu", "Payment Meny"
"Credit Card", "Kreditkort"
"Invoice", "Faktura"
"Direct Debit", "Direct Debit"
"Clean", "Clean"
"Clean older pending orders", "Clean äldre pågående order"
"Agreement url", "Avtal url"
"Max amount of single transaction", "Max mängd enda transaktion"
"Selected currency code (%s) is not compatible with PayEx","Vald valutakod (% s) är inte kompatibel med PayEx", "vald valuta kod (% s) är inte kompatibel med PayEx"
"Can't load last transaction.","Kan inte ladda sista transaktionen."
"This payment has not yet captured.","Denna betalning har ännu inte fångats."
"Unknown error","Okänt fel"
"Discount","Rabatt"
"Shipping","Frakt"
"Failed to complete action: Bad Session Data","Misslyckades med att genomföra åtgärden: Bad Session Data"
"English","English"
"Swedish","Svenska"
"Norway","Norge"
"Danish","Danska"
"Spanish","Spanska"
"German","Tyska"
"Finnish","Finska"
"French","Franska"
"Polish","Polska"
"Czech","Tjeckien"
"Hungarian","Ungerska"
"Detected an abnormal payment process. Order is canceled.","Upptäckte en onormal betalningsprocess. Ordern avbryts."
"The customer was redirected to PayEx.","Kunden skickades till PayEx."
"Order automatically canceled. Failed to complete payment.","Ordern blev automatiskt avbruten. Misslyckades att genomföra betalningen."
"Order automatically canceled. Payment refused.","Ordern blev automatiskt avbruten. Betalningen nekades."
"Order automatically canceled. Transaction is canceled.","Ordern blev automatiskt avbruten. Transaktionen är avbruten."
"Payment is accepted";"Betalning accepterad"
"Time to clean pending orders (0 - disabled)","Tid innan väntande ordrar rensas - (0 = inaktiverad)"