"Selected currency code (%s) is not compatible with PayEx","Vald valutakod (% s) är inte kompatibel med PayEx", "vald valuta kod (% s) är inte kompatibel med PayEx"
"Can't load last transaction.","Kan inte ladda sista transaktionen."
"This payment has not yet captured.","Denna betalning har ännu inte fångats."
"Unknown error","Okänt fel"
"Discount","Rabatt"
"Shipping","Frakt"
"Failed to complete action: Bad Session Data","Misslyckades med att genomföra åtgärden: Bad Session Data"
"English","English"
"Swedish","Svenska"
"Norway","Norge"
"Danish","Danska"
"Spanish","Spanska"
"German","Tyska"
"Finnish","Finska"
"French","Franska"
"Polish","Polska"
"Czech","Tjeckien"
"Hungarian","Ungerska"
"Detected an abnormal payment process. Order is canceled.","Upptäckte en onormal betalningsprocess. Ordern avbryts."
"The customer was redirected to PayEx.","Kunden skickades till PayEx."
"Order automatically canceled. Failed to complete payment.","Ordern blev automatiskt avbruten. Misslyckades att genomföra betalningen."
"Order automatically canceled. Payment refused.","Ordern blev automatiskt avbruten. Betalningen nekades."
"Order automatically canceled. Transaction is canceled.","Ordern blev automatiskt avbruten. Transaktionen är avbruten."
"Order has been paid";"Order har betalats"
"Payment is accepted";"Payment is accepted"
"You will be redirected to <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> website when you place an order.","Du skickas vidare till <a target=""_blank"" href=""http://www.payex.com"">PayEx</a> webbplats för att betala."
"Time to clean pending orders (0 - disabled)","Tid innan väntande ordrar rensas - (0 = inaktiverad)"